(epoch: 29, iters: 640, time: 0.015, data: 0.098 ETA:    0:46:52) G_GAN: 1.459 G_L1: 7.470 D_real: 0.508 D_fake: 0.147 
(epoch: 30, iters: 320, time: 0.014, data: 0.009 ETA:    0:44:06) G_GAN: 0.944 G_L1: 8.635 D_real: 0.703 D_fake: 0.329 
(epoch: 30, iters: 1120, time: 0.006, data: 0.058 ETA:    0:18:56) G_GAN: 0.609 G_L1: 10.661 D_real: 1.324 D_fake: 0.164 
(epoch: 31, iters: 800, time: 0.014, data: 1.234 ETA:    0:44:51) G_GAN: 2.295 G_L1: 7.383 D_real: 0.128 D_fake: 0.333 
(epoch: 32, iters: 480, time: 0.014, data: 0.071 ETA:    0:43:23) G_GAN: 2.102 G_L1: 8.448 D_real: 0.096 D_fake: 0.815 
(epoch: 33, iters: 160, time: 0.015, data: 0.069 ETA:    0:44:46) G_GAN: 2.150 G_L1: 8.106 D_real: 0.211 D_fake: 0.188 
(epoch: 33, iters: 960, time: 0.014, data: 0.012 ETA:    0:41:52) G_GAN: 1.984 G_L1: 8.861 D_real: 0.172 D_fake: 0.414 
(epoch: 34, iters: 640, time: 0.014, data: 0.119 ETA:    0:42:02) G_GAN: 1.705 G_L1: 10.581 D_real: 0.389 D_fake: 0.233 
(epoch: 35, iters: 320, time: 0.014, data: 0.083 ETA:    0:42:41) G_GAN: 1.379 G_L1: 8.383 D_real: 0.567 D_fake: 0.958 
(epoch: 35, iters: 1120, time: 0.006, data: 0.006 ETA:    0:17:46) G_GAN: 2.523 G_L1: 7.945 D_real: 0.115 D_fake: 0.438 
(epoch: 36, iters: 800, time: 0.015, data: 1.171 ETA:    0:46:03) G_GAN: 0.961 G_L1: 7.358 D_real: 0.623 D_fake: 0.318 
(epoch: 37, iters: 480, time: 0.015, data: 0.011 ETA:    0:44:09) G_GAN: 3.032 G_L1: 7.811 D_real: 0.101 D_fake: 0.826 
(epoch: 38, iters: 160, time: 0.015, data: 0.006 ETA:    0:43:58) G_GAN: 0.526 G_L1: 6.920 D_real: 0.924 D_fake: 0.199 
(epoch: 38, iters: 960, time: 0.014, data: 0.006 ETA:    0:42:46) G_GAN: 1.130 G_L1: 6.999 D_real: 1.230 D_fake: 0.095 
(epoch: 39, iters: 640, time: 0.014, data: 0.014 ETA:    0:41:58) G_GAN: 1.075 G_L1: 7.327 D_real: 0.492 D_fake: 0.203 
(epoch: 40, iters: 320, time: 0.014, data: 0.055 ETA:    0:41:26) G_GAN: 0.535 G_L1: 7.760 D_real: 0.834 D_fake: 0.211 
(epoch: 40, iters: 1120, time: 0.007, data: 0.009 ETA:    0:19:41) G_GAN: 1.311 G_L1: 9.319 D_real: 0.485 D_fake: 0.736 
(epoch: 41, iters: 800, time: 0.014, data: 1.197 ETA:    0:41:21) G_GAN: 2.593 G_L1: 8.218 D_real: 0.219 D_fake: 0.636 
(epoch: 42, iters: 480, time: 0.014, data: 0.064 ETA:    0:41:44) G_GAN: 1.957 G_L1: 7.135 D_real: 0.264 D_fake: 0.490 
(epoch: 43, iters: 160, time: 0.015, data: 0.102 ETA:    0:43:29) G_GAN: 2.213 G_L1: 8.671 D_real: 0.277 D_fake: 0.319 
(epoch: 43, iters: 960, time: 0.014, data: 0.027 ETA:    0:40:14) G_GAN: 1.573 G_L1: 6.928 D_real: 0.158 D_fake: 0.625 
(epoch: 44, iters: 640, time: 0.014, data: 0.009 ETA:    0:39:15) G_GAN: 0.734 G_L1: 7.123 D_real: 0.617 D_fake: 0.399 
(epoch: 45, iters: 320, time: 0.015, data: 0.039 ETA:    0:42:24) G_GAN: 1.569 G_L1: 6.987 D_real: 0.386 D_fake: 0.453 
(epoch: 45, iters: 1120, time: 0.006, data: 0.121 ETA:    0:16:06) G_GAN: 3.937 G_L1: 8.985 D_real: 0.056 D_fake: 0.644 
(epoch: 46, iters: 800, time: 0.014, data: 1.279 ETA:    0:40:25) G_GAN: 1.033 G_L1: 7.417 D_real: 0.590 D_fake: 0.106 
(epoch: 47, iters: 480, time: 0.014, data: 0.093 ETA:    0:40:39) G_GAN: 1.019 G_L1: 6.462 D_real: 0.750 D_fake: 0.326 
(epoch: 48, iters: 160, time: 0.015, data: 0.011 ETA:    0:41:12) G_GAN: 2.131 G_L1: 6.948 D_real: 0.088 D_fake: 0.887 
(epoch: 48, iters: 960, time: 0.014, data: 0.020 ETA:    0:39:18) G_GAN: 1.253 G_L1: 6.511 D_real: 0.658 D_fake: 0.201 
